SSN,LAST,FIRST,YEAR
XVRLAI59L219OC,Xavier,Ali,1959
NRENRC53H501BB,Neri,Enrica,1953
RSSLAI18Z403QT,Russo,Ali,2018
LTTGRG74A213TX,Letto,Giorgio,1974
RSSNRC53A213CU,Rossi,Enrica,1953
MLNPLA15Z403UB,Melone,Paola,2015
VRDNRC58G456UV,Verdi,Enrica,1958
VRDXVR9Z403WH,Verdi,Xavier,2009
MTTMRA56Z403IO,Mattei,Mario,1956
NRENRC40Z403YD,Neri,Enrica,1940
XVRNNA82G456YN,Xavier,Anna,1982
RSSMRA12G456KS,Rossi,Mario,2012
RSSNNA73A213KK,Russo,Anna,1973
VRDPLA80L219OD,Verdi,Paola,1980
DRGPLA98Z403XR,Draghi,Paola,1998
DRGLCU79R129BW,Draghi,Luca,1979
DRGMRM39R129IE,Draghi,Miriam,1939
NREGRG24A213BE,Neri,Giorgio,1924
MLNMRM79F789WM,Melone,Miriam,1979
XVRLCU23F789LT,Xavier,Lucia,1923
RSSNRC47R129KJ,Russo,Enrica,1947
RSSXVR86R129CQ,Rossi,Xavier,1986
LTTLCU86G456YJ,Letto,Luca,1986
LTTMRA69Z403LL,Letto,Mario,1969
VRDNRC30Z403QY,Verdi,Enrica,1930
DRGXVR6F789WP,Draghi,Xavier,2006
DRGNRC14A213TX,Draghi,Enrica,2014
BCAMRA97Z403RI,Abaco,Mario,1997
MTTPLA88F789LO,Mattei,Paola,1988
RSSNNA52Z403HC,Russo,Anna,1952
LTTXVR44Z403FG,Letto,Xavier,1944
BCALCU89F789AE,Abaco,Luca,1989
XVRLCU9A213HY,Xavier,Luca,2009
XVRNRC12A213DV,Xavier,Enrica,2012
DRGGRG11L219XD,Draghi,Giorgio,2011
DRGLAI65H501XY,Draghi,Ali,1965
MTTLAI77F789CT,Mattei,Ali,1977
RSSPLA38L219QQ,Russo,Paola,1938
XVRLCU36L219WR,Xavier,Lucia,1936
LTTNRC7R129DP,Letto,Enrica,2007
XVRGRG3H501LH,Xavier,Giorgio,2003
NRELCU80G456LT,Neri,Lucia,1980
MLNNRC4H501PN,Melone,Enrica,2004
MLNLCU86H501NE,Melone,Lucia,1986
MTTLCU40A213JL,Mattei,Lucia,1940
NREXVR50Z403TF,Neri,Xavier,1950
MLNLCU99L219SH,Melone,Luca,1999
RSSLAI5G456EJ,Rossi,Ali,2005
RSSGRG84L219NX,Rossi,Giorgio,1984
XVRLCU77Z403RL,Xavier,Luca,1977
RSSLCU12G456GB,Russo,Lucia,2012
BCAPLA98R129BS,Abaco,Paola,1998
NRELCU15R129JN,Neri,Lucia,2015
RSSXVR65R129BI,Russo,Xavier,1965
BCAMRA31Z403AK,Abaco,Mario,1931
VRDLCU42L219PR,Verdi,Luca,1942
XVRXVR30Z403PX,Xavier,Xavier,1930
RSSGRG54H501OQ,Russo,Giorgio,1954
RSSLCU75H501AC,Rossi,Luca,1975
NRENRC94L219FD,Neri,Enrica,1994
RSSLCU22H501KJ,Russo,Lucia,1922
RSSNNA37F789XK,Russo,Anna,1937
DRGLCU27R129AQ,Draghi,Lucia,1927
DRGPLA0F789HL,Draghi,Paola,2000
BCAGRG18A213HL,Abaco,Giorgio,2018
XVRLCU69H501FD,Xavier,Lucia,1969
NREPLA1H501OG,Neri,Paola,2001
XVRPLA69F789FH,Xavier,Paola,1969
VRDGRG18Z403JD,Verdi,Giorgio,2018
LTTPLA65H501YF,Letto,Paola,1965
MLNNNA5G456PS,Melone,Anna,2005
DRGMRM82G456VL,Draghi,Miriam,1982
XVRGRG97R129BT,Xavier,Giorgio,1997
NRENNA88A213FU,Neri,Anna,1988
RSSMRA71L219AV,Russo,Mario,1971
RSSMRA55F789VQ,Rossi,Mario,1955
MTTNNA35Z403FI,Mattei,Anna,1935
RSSXVR18L219TU,Rossi,Xavier,2018
BCANNA22H501ME,Abaco,Anna,1922
RSSLAI51R129IJ,Rossi,Ali,1951
MTTLAI27G456HV,Mattei,Ali,1927
BCALAI88L219FX,Abaco,Ali,1988
VRDLCU35L219QI,Verdi,Luca,1935
RSSLCU86G456HJ,Rossi,Luca,1986
BCALCU8A213YY,Abaco,Luca,2008
XVRMRM95L219MM,Xavier,Miriam,1995
BCAXVR43Z403GW,Abaco,Xavier,1943
MLNNRC95A213NC,Melone,Enrica,1995
RSSLAI33F789CA,Russo,Ali,1933
BCAGRG83L219DO,Abaco,Giorgio,1983
DRGLCU89L219QM,Draghi,Luca,1989
XVRLCU54H501YA,Xavier,Lucia,1954
DRGMRM35A213XJ,Draghi,Miriam,1935
BCALAI35F789YM,Abaco,Ali,1935
XVRNNA32A213TY,Xavier,Anna,1932
NREMRA51G456EC,Neri,Mario,1951
NRENRC38G456RO,Neri,Enrica,1938
VRDNNA32Z403UW,Verdi,Anna,1932
MTTNRC41L219XE,Mattei,Enrica,1941
VRDPLA91L219OP,Verdi,Paola,1991
NREMRA65A213DI,Neri,Mario,1965
NREPLA67A213YK,Neri,Paola,1967
RSSLCU0F789RM,Russo,Luca,2000
MLNLAI97H501HY,Melone,Ali,1997
MLNGRG65L219XL,Melone,Giorgio,1965
RSSMRA20F789TS,Russo,Mario,2020
RSSPLA64F789HJ,Rossi,Paola,1964
MTTPLA99Z403DT,Mattei,Paola,1999
XVRLCU72G456GK,Xavier,Lucia,1972
RSSNNA42H501GX,Russo,Anna,1942
DRGLAI59L219ER,Draghi,Ali,1959
MTTLCU57R129WB,Mattei,Luca,1957
RSSNRC1A213DX,Rossi,Enrica,2001
MLNPLA53L219KQ,Melone,Paola,1953
MLNLCU96F789WG,Melone,Lucia,1996
MTTPLA59A213MY,Mattei,Paola,1959
VRDGRG8H501IB,Verdi,Giorgio,2008
RSSXVR67A213NJ,Rossi,Xavier,1967
BCALAI36A213EJ,Abaco,Ali,1936
MTTNRC71G456CI,Mattei,Enrica,1971
VRDNNA69F789YE,Verdi,Anna,1969
MLNGRG58F789BL,Melone,Giorgio,1958
XVRLAI67H501JM,Xavier,Ali,1967
VRDXVR79L219QY,Verdi,Xavier,1979
BCAPLA40A213WA,Abaco,Paola,1940
RSSLCU6F789SD,Russo,Luca,2006
RSSMRA94R129YT,Russo,Mario,1994
BCALCU59H501NA,Abaco,Lucia,1959
MTTXVR76H501KW,Mattei,Xavier,1976
RSSXVR58A213BJ,Russo,Xavier,1958
MTTNNA44L219FG,Mattei,Anna,1944
NRELCU44F789UX,Neri,Lucia,1944
NREXVR42Z403MY,Neri,Xavier,1942
LTTMRA66H501OP,Letto,Mario,1966
RSSNRC92G456NW,Rossi,Enrica,1992
XVRPLA5L219WH,Xavier,Paola,2005
VRDLAI56A213SK,Verdi,Ali,1956
XVRPLA26R129RP,Xavier,Paola,1926
NRELAI92A213AK,Neri,Ali,1992
NREPLA44R129RE,Neri,Paola,1944
DRGLAI50L219MY,Draghi,Ali,1950
VRDMRM78F789QO,Verdi,Miriam,1978
MTTLCU90R129LD,Mattei,Luca,1990
VRDXVR45Z403CH,Verdi,Xavier,1945
DRGGRG85L219BT,Draghi,Giorgio,1985
RSSGRG5F789GB,Russo,Giorgio,2005
RSSLAI70Z403CP,Rossi,Ali,1970
XVRGRG35A213JB,Xavier,Giorgio,1935
BCAXVR18Z403OW,Abaco,Xavier,2018
NRELAI40H501OC,Neri,Ali,1940
MTTNNA80A213KG,Mattei,Anna,1980
DRGPLA53R129DB,Draghi,Paola,1953
XVRMRM63G456OB,Xavier,Miriam,1963
VRDLCU49R129FE,Verdi,Lucia,1949
VRDMRA3A213HV,Verdi,Mario,2003
NRELCU44Z403DK,Neri,Luca,1944
RSSNNA75G456KW,Russo,Anna,1975
MTTNNA98F789EL,Mattei,Anna,1998
BCAMRM83F789JU,Abaco,Miriam,1983
VRDLCU76G456WD,Verdi,Lucia,1976
DRGMRA38A213HE,Draghi,Mario,1938
BCAMRM65L219AE,Abaco,Miriam,1965
MLNPLA14Z403YY,Melone,Paola,2014
VRDNRC42Z403JN,Verdi,Enrica,1942
RSSLAI39A213RD,Russo,Ali,1939
XVRMRA37H501QB,Xavier,Mario,1937
RSSLCU26H501JX,Rossi,Lucia,1926
XVRLCU24G456QL,Xavier,Luca,1924
VRDMRM52L219PV,Verdi,Miriam,1952
LTTPLA91F789PG,Letto,Paola,1991
RSSMRM9L219TD,Rossi,Miriam,2009
MLNMRM44L219IC,Melone,Miriam,1944
MLNXVR79F789CK,Melone,Xavier,1979
VRDLCU15Z403EH,Verdi,Luca,2015
XVRXVR33F789HO,Xavier,Xavier,1933
DRGMRM97R129WV,Draghi,Miriam,1997
MTTLCU52L219YM,Mattei,Luca,1952
MLNXVR79Z403LC,Melone,Xavier,1979
LTTGRG86Z403GG,Letto,Giorgio,1986
DRGMRA98R129MY,Draghi,Mario,1998
BCALAI19H501TX,Abaco,Ali,2019
XVRXVR41H501BE,Xavier,Xavier,1941
BCANRC98L219JE,Abaco,Enrica,1998
VRDPLA11R129LO,Verdi,Paola,2011
RSSMRA28R129WW,Russo,Mario,1928
LTTXVR61Z403CT,Letto,Xavier,1961
MLNGRG71L219UP,Melone,Giorgio,1971
MTTLCU62A213WA,Mattei,Luca,1962
VRDLCU16F789FN,Verdi,Lucia,2016
XVRLAI44R129SK,Xavier,Ali,1944
RSSXVR91Z403CW,Russo,Xavier,1991
VRDNNA25G456KD,Verdi,Anna,1925
BCAMRM57F789GM,Abaco,Miriam,1957
RSSXVR65G456JF,Rossi,Xavier,1965
RSSLCU75A213MU,Rossi,Lucia,1975
VRDNRC55A213AQ,Verdi,Enrica,1955
BCAPLA90R129JW,Abaco,Paola,1990
XVRMRA75F789BT,Xavier,Mario,1975
RSSGRG58R129ST,Russo,Giorgio,1958
DRGMRM56F789CV,Draghi,Miriam,1956
VRDGRG31F789UB,Verdi,Giorgio,1931
NREMRM22Z403PO,Neri,Miriam,1922
XVRLAI53G456NK,Xavier,Ali,1953
MTTMRA87Z403LX,Mattei,Mario,1987
DRGLCU78G456JT,Draghi,Lucia,1978
RSSLCU68R129IM,Rossi,Lucia,1968
XVRGRG57A213VV,Xavier,Giorgio,1957
MTTGRG47F789JE,Mattei,Giorgio,1947
VRDLCU12R129ED,Verdi,Lucia,2012
RSSMRM70G456EL,Rossi,Miriam,1970
RSSLCU15R129VO,Russo,Lucia,2015
XVRGRG56Z403DJ,Xavier,Giorgio,1956
MLNLCU25H501JD,Melone,Lucia,1925
RSSMRA68L219AL,Rossi,Mario,1968
DRGPLA8L219IP,Draghi,Paola,2008
VRDLCU26F789EE,Verdi,Luca,1926
MTTPLA24Z403PJ,Mattei,Paola,1924
MTTPLA20A213RC,Mattei,Paola,2020
NREPLA98F789KU,Neri,Paola,1998
XVRLAI26H501VV,Xavier,Ali,1926
BCAPLA38L219XO,Abaco,Paola,1938
VRDLAI91Z403CW,Verdi,Ali,1991
MLNGRG33L219YA,Melone,Giorgio,1933
MLNNNA21F789OL,Melone,Anna,2021
MLNLAI38L219PL,Melone,Ali,1938
LTTGRG73R129SY,Letto,Giorgio,1973
XVRMRM25L219AA,Xavier,Miriam,1925
LTTLCU7A213VW,Letto,Lucia,2007
BCAGRG82A213FU,Abaco,Giorgio,1982
BCALCU65R129CO,Abaco,Luca,1965
XVRLCU90Z403GF,Xavier,Luca,1990
DRGPLA10H501DB,Draghi,Paola,2010
XVRNRC49G456IU,Xavier,Enrica,1949
RSSMRA18A213EU,Rossi,Mario,2018
LTTXVR52L219JG,Letto,Xavier,1952
RSSXVR72F789BJ,Rossi,Xavier,1972
VRDLCU58Z403EE,Verdi,Luca,1958
MLNMRA2G456PO,Melone,Mario,2002
MLNLAI84H501CQ,Melone,Ali,1984
MLNNRC77L219XT,Melone,Enrica,1977
MLNLAI40G456XY,Melone,Ali,1940
BCAXVR26G456HW,Abaco,Xavier,1926
DRGLCU81G456PU,Draghi,Lucia,1981
XVRPLA27R129WG,Xavier,Paola,1927
VRDGRG88F789UA,Verdi,Giorgio,1988
RSSLCU2Z403ET,Rossi,Luca,2002
NREXVR95F789HE,Neri,Xavier,1995
DRGMRM54H501CY,Draghi,Miriam,1954
NREXVR92A213RV,Neri,Xavier,1992
RSSXVR32G456GN,Russo,Xavier,1932
VRDXVR81R129HF,Verdi,Xavier,1981
NRENRC94L219UV,Neri,Enrica,1994
RSSGRG26A213GG,Russo,Giorgio,1926
BCALCU86G456SM,Abaco,Luca,1986
RSSMRA57F789DJ,Russo,Mario,1957
MLNMRA3Z403BG,Melone,Mario,2003
MLNNRC82L219RB,Melone,Enrica,1982
LTTMRM49H501QR,Letto,Miriam,1949
XVRLCU25F789UK,Xavier,Lucia,1925
LTTMRM38A213FO,Letto,Miriam,1938
BCANNA16R129YE,Abaco,Anna,2016
RSSLCU36H501JU,Rossi,Luca,1936
DRGNRC7H501AL,Draghi,Enrica,2007
RSSLCU5G456NO,Rossi,Luca,2005
RSSLCU9Z403WC,Russo,Lucia,2009
NRENRC77Z403PI,Neri,Enrica,1977
XVRGRG59R129BR,Xavier,Giorgio,1959
BCALCU31R129CP,Abaco,Lucia,1931
MTTLCU87R129TA,Mattei,Luca,1987
RSSNNA18R129PG,Russo,Anna,2018
LTTGRG68R129NB,Letto,Giorgio,1968
BCALAI57F789LT,Abaco,Ali,1957
RSSMRA64A213II,Rossi,Mario,1964
MLNPLA96G456VH,Melone,Paola,1996
BCALCU56A213NI,Abaco,Luca,1956
LTTPLA17F789TK,Letto,Paola,2017
MTTLAI33G456JP,Mattei,Ali,1933
DRGNNA4A213LO,Draghi,Anna,2004
VRDMRM76Z403KX,Verdi,Miriam,1976
NRENNA49F789UA,Neri,Anna,1949
MLNMRM21F789YO,Melone,Miriam,2021
MLNMRM61L219EH,Melone,Miriam,1961
RSSPLA85H501FF,Rossi,Paola,1985
MLNNNA4A213XE,Melone,Anna,2004
NREXVR55R129VE,Neri,Xavier,1955
VRDLCU33L219BU,Verdi,Lucia,1933
VRDLCU99Z403EH,Verdi,Luca,1999
LTTNNA77F789PA,Letto,Anna,1977
MTTLAI56A213BR,Mattei,Ali,1956
LTTLCU82G456XQ,Letto,Lucia,1982
MLNNRC31L219NV,Melone,Enrica,1931
NRELCU60R129MQ,Neri,Lucia,1960
NREMRA40Z403SD,Neri,Mario,1940
NRENRC72A213SW,Neri,Enrica,1972
VRDPLA81L219LA,Verdi,Paola,1981
MLNGRG15G456CQ,Melone,Giorgio,2015
MTTLCU12Z403PB,Mattei,Lucia,2012
BCAMRA12A213OG,Abaco,Mario,2012
NREXVR8F789FA,Neri,Xavier,2008
BCALCU38Z403WE,Abaco,Lucia,1938
RSSGRG60H501NA,Russo,Giorgio,1960
MLNPLA29F789FY,Melone,Paola,1929
DRGNNA52H501BO,Draghi,Anna,1952
MTTPLA16F789GT,Mattei,Paola,2016
MLNMRM48L219PT,Melone,Miriam,1948
RSSLCU66A213WN,Rossi,Lucia,1966
MLNLCU28Z403AP,Melone,Lucia,1928
DRGLCU51A213PL,Draghi,Lucia,1951
LTTXVR89Z403BA,Letto,Xavier,1989
DRGMRA4L219GI,Draghi,Mario,2004
VRDLCU46H501PE,Verdi,Lucia,1946
MLNLCU69L219AI,Melone,Lucia,1969
LTTGRG67R129GY,Letto,Giorgio,1967
NREXVR55H501FJ,Neri,Xavier,1955
DRGMRA6A213WC,Draghi,Mario,2006
RSSLAI43R129UY,Rossi,Ali,1943
VRDPLA25Z403VK,Verdi,Paola,1925
RSSLCU7R129QQ,Rossi,Lucia,2007
NREPLA15G456JD,Neri,Paola,2015
LTTGRG73R129GD,Letto,Giorgio,1973
MLNMRA14A213PP,Melone,Mario,2014
MLNLCU28G456VT,Melone,Luca,1928
RSSMRA66R129YX,Russo,Mario,1966
MLNXVR62G456PH,Melone,Xavier,1962
MLNXVR43G456XY,Melone,Xavier,1943
RSSLAI43Z403YU,Russo,Ali,1943
XVRMRA42H501WO,Xavier,Mario,1942
MTTLCU35G456ML,Mattei,Lucia,1935
XVRNRC41H501GI,Xavier,Enrica,1941
RSSNRC48L219OA,Rossi,Enrica,1948
MTTPLA93H501HE,Mattei,Paola,1993
MLNLCU24G456DM,Melone,Luca,1924
MLNGRG42Z403VT,Melone,Giorgio,1942
BCAMRM89A213ER,Abaco,Miriam,1989
XVRPLA76F789WG,Xavier,Paola,1976
MTTXVR20A213WJ,Mattei,Xavier,2020
BCANRC45G456EB,Abaco,Enrica,1945
VRDLCU14L219IJ,Verdi,Luca,2014
NREXVR58A213TE,Neri,Xavier,1958
NREMRM54Z403TU,Neri,Miriam,1954
RSSPLA99L219ES,Rossi,Paola,1999
XVRNNA79L219QQ,Xavier,Anna,1979
MLNNRC44G456YB,Melone,Enrica,1944
BCALCU94Z403PQ,Abaco,Lucia,1994
RSSPLA62F789JW,Rossi,Paola,1962
XVRLCU68H501BR,Xavier,Luca,1968
RSSNRC42L219TX,Rossi,Enrica,1942
BCANRC40G456WW,Abaco,Enrica,1940
MTTGRG47Z403WU,Mattei,Giorgio,1947
MLNGRG31A213UK,Melone,Giorgio,1931
RSSGRG48G456QI,Rossi,Giorgio,1948
DRGXVR98A213EY,Draghi,Xavier,1998
RSSMRA72F789WS,Russo,Mario,1972
RSSLCU29H501GV,Rossi,Lucia,1929
MTTMRA35F789TW,Mattei,Mario,1935
XVRLAI66A213CU,Xavier,Ali,1966
RSSPLA1G456LA,Russo,Paola,2001
NREMRA89R129QQ,Neri,Mario,1989
VRDXVR43G456OU,Verdi,Xavier,1943
MTTMRM88G456MK,Mattei,Miriam,1988
BCANNA16H501OA,Abaco,Anna,2016
XVRGRG88Z403ET,Xavier,Giorgio,1988
XVRPLA95Z403YE,Xavier,Paola,1995
LTTPLA95G456SA,Letto,Paola,1995
XVRMRA41A213UV,Xavier,Mario,1941
MLNLCU53A213YK,Melone,Luca,1953
XVRGRG37L219CC,Xavier,Giorgio,1937
BCANNA60R129JO,Abaco,Anna,1960
LTTMRM44R129BX,Letto,Miriam,1944
BCALCU81Z403QI,Abaco,Luca,1981
RSSNRC92G456KH,Russo,Enrica,1992
MLNNNA49R129OI,Melone,Anna,1949
LTTMRM6G456SL,Letto,Miriam,2006
LTTLCU99L219WD,Letto,Lucia,1999
DRGGRG78Z403AD,Draghi,Giorgio,1978
LTTMRM0Z403QK,Letto,Miriam,2000
RSSNRC63R129EN,Rossi,Enrica,1963
RSSNNA83F789FJ,Russo,Anna,1983
BCAXVR50L219FM,Abaco,Xavier,1950
DRGGRG14R129LU,Draghi,Giorgio,2014
XVRGRG65R129VB,Xavier,Giorgio,1965
RSSLAI73H501AV,Rossi,Ali,1973
MTTPLA66R129GS,Mattei,Paola,1966
VRDMRA61G456XO,Verdi,Mario,1961
BCAMRA74A213OI,Abaco,Mario,1974
VRDNNA59H501HA,Verdi,Anna,1959
DRGNRC67G456JA,Draghi,Enrica,1967
RSSNRC57H501NK,Russo,Enrica,1957
MTTPLA29H501GN,Mattei,Paola,1929
LTTPLA91H501FA,Letto,Paola,1991
NREMRA66R129IQ,Neri,Mario,1966
LTTGRG79R129JF,Letto,Giorgio,1979
BCAGRG49F789DI,Abaco,Giorgio,1949
DRGNRC26G456NO,Draghi,Enrica,1926
VRDGRG87A213KG,Verdi,Giorgio,1987
VRDLAI84F789HU,Verdi,Ali,1984
RSSLAI7A213IS,Russo,Ali,2007
RSSMRM63L219LC,Russo,Miriam,1963
MLNXVR73R129BH,Melone,Xavier,1973
XVRXVR69L219QL,Xavier,Xavier,1969
MLNPLA38H501KU,Melone,Paola,1938
XVRLCU54L219RJ,Xavier,Luca,1954
NRENRC7R129EI,Neri,Enrica,2007
NREPLA6G456MB,Neri,Paola,2006
RSSLAI40H501RJ,Rossi,Ali,1940
NREXVR41Z403RG,Neri,Xavier,1941
VRDMRM43H501JL,Verdi,Miriam,1943
XVRGRG9F789KW,Xavier,Giorgio,2009
MLNLCU81A213TU,Melone,Lucia,1981
DRGNRC21A213GY,Draghi,Enrica,2021
NREXVR32L219LB,Neri,Xavier,1932
XVRLCU1A213FE,Xavier,Lucia,2001
VRDLCU11G456HE,Verdi,Luca,2011
BCAMRA77F789VO,Abaco,Mario,1977
XVRLAI70H501VG,Xavier,Ali,1970
XVRGRG77F789CX,Xavier,Giorgio,1977
XVRLAI28Z403YO,Xavier,Ali,1928
RSSNRC26A213DW,Rossi,Enrica,1926
VRDLCU10L219JQ,Verdi,Luca,2010
VRDXVR35R129HO,Verdi,Xavier,1935
XVRLCU34L219RB,Xavier,Lucia,1934
LTTNRC16Z403OX,Letto,Enrica,2016
MLNMRA1L219VL,Melone,Mario,2001
MLNMRM63F789OT,Melone,Miriam,1963
VRDNNA65H501QC,Verdi,Anna,1965
LTTNRC55G456JJ,Letto,Enrica,1955
VRDMRA84G456UF,Verdi,Mario,1984
MLNMRM69Z403SY,Melone,Miriam,1969
NREXVR39H501UO,Neri,Xavier,1939
RSSLAI9Z403AD,Rossi,Ali,2009
VRDMRA86R129IN,Verdi,Mario,1986
MTTXVR49A213BW,Mattei,Xavier,1949
NREPLA63Z403GM,Neri,Paola,1963
DRGNNA6G456PR,Draghi,Anna,2006
DRGLCU70R129UQ,Draghi,Lucia,1970
RSSLCU94L219KQ,Russo,Luca,1994
NRELCU86R129IP,Neri,Lucia,1986
DRGNNA95A213EN,Draghi,Anna,1995
LTTNRC32R129VA,Letto,Enrica,1932
MTTNRC51A213FN,Mattei,Enrica,1951
NREMRA14G456PM,Neri,Mario,2014
VRDLCU32H501DA,Verdi,Luca,1932
LTTNRC73G456SG,Letto,Enrica,1973
DRGLAI96L219QW,Draghi,Ali,1996
LTTLAI25Z403NH,Letto,Ali,1925
NREMRM65F789RJ,Neri,Miriam,1965
MLNMRM12A213UN,Melone,Miriam,2012
XVRLCU19F789UR,Xavier,Luca,2019
RSSXVR37Z403NP,Russo,Xavier,1937
LTTLAI41H501DO,Letto,Ali,1941
XVRLCU65L219RR,Xavier,Lucia,1965
VRDNNA20R129HK,Verdi,Anna,2020
NRENNA47F789XQ,Neri,Anna,1947
XVRMRA58R129AV,Xavier,Mario,1958
RSSLAI95H501NQ,Russo,Ali,1995
VRDLCU78H501QM,Verdi,Lucia,1978
LTTMRM37R129NU,Letto,Miriam,1937
XVRGRG57L219BK,Xavier,Giorgio,1957
RSSGRG24A213RI,Russo,Giorgio,1924
RSSPLA89F789KO,Rossi,Paola,1989
NREGRG87R129KE,Neri,Giorgio,1987
DRGLAI62L219WR,Draghi,Ali,1962
RSSLCU46G456QO,Rossi,Luca,1946
VRDLCU62A213LW,Verdi,Luca,1962
MLNLCU90R129BM,Melone,Lucia,1990
XVRLCU77F789NC,Xavier,Lucia,1977
MTTNNA54L219AU,Mattei,Anna,1954
RSSNNA28F789JU,Rossi,Anna,1928
DRGNRC14F789VM,Draghi,Enrica,2014
LTTLCU41G456PT,Letto,Lucia,1941
MTTMRM55G456NU,Mattei,Miriam,1955
MLNMRM18Z403TX,Melone,Miriam,2018
MTTNNA55L219EI,Mattei,Anna,1955
MTTMRA49L219IX,Mattei,Mario,1949
NREGRG45A213MI,Neri,Giorgio,1945
NREMRA24A213YC,Neri,Mario,1924
MLNPLA29G456TN,Melone,Paola,1929
RSSNRC59A213CV,Russo,Enrica,1959
MTTLCU57R129OA,Mattei,Luca,1957
MTTNRC69G456HT,Mattei,Enrica,1969
BCALAI79F789JO,Abaco,Ali,1979
VRDXVR63L219ON,Verdi,Xavier,1963
RSSGRG8G456OF,Rossi,Giorgio,2008
MTTPLA86L219DF,Mattei,Paola,1986
XVRNRC83R129UQ,Xavier,Enrica,1983
MTTNRC74L219UE,Mattei,Enrica,1974
DRGLCU10H501AC,Draghi,Luca,2010
MLNMRM50G456RP,Melone,Miriam,1950
XVRLCU7A213RC,Xavier,Lucia,2007
RSSNRC22R129AB,Rossi,Enrica,1922
MLNGRG0A213VY,Melone,Giorgio,2000
RSSMRA40H501HO,Rossi,Mario,1940
BCAGRG19A213JC,Abaco,Giorgio,2019
VRDXVR80Z403QV,Verdi,Xavier,1980
DRGNRC15H501LU,Draghi,Enrica,2015
BCAMRM95L219JJ,Abaco,Miriam,1995
BCAPLA21F789OL,Abaco,Paola,2021
BCALCU56A213PF,Abaco,Lucia,1956
MTTMRA72R129AG,Mattei,Mario,1972
MLNGRG23Z403PC,Melone,Giorgio,1923
MLNNNA80R129SO,Melone,Anna,1980
NRELCU58L219JR,Neri,Luca,1958
NREMRM3A213BA,Neri,Miriam,2003
LTTPLA96L219PD,Letto,Paola,1996
MTTLCU78L219QB,Mattei,Lucia,1978
NREXVR51R129BD,Neri,Xavier,1951
LTTMRA61Z403UK,Letto,Mario,1961
MTTMRA93H501DM,Mattei,Mario,1993
MLNLCU66G456GX,Melone,Lucia,1966
NRELCU40L219DF,Neri,Lucia,1940
NREMRA95H501IB,Neri,Mario,1995
RSSGRG72F789JP,Rossi,Giorgio,1972
RSSLCU15A213MW,Rossi,Luca,2015
BCAMRM1G456WJ,Abaco,Miriam,2001
NRELCU27F789HN,Neri,Lucia,1927
RSSGRG75L219EU,Russo,Giorgio,1975
